Code.INSEE,Code.postal,Libellé.géographique,Dep,occurrence,total.Club.sportif,Population,TauxBac,Salaire,TauxChomage,TauxOuvrier,StatutCommune
31446,31520,Ramonville-Saint-Agne,31,1,38,1636,49.3923611111,19391,10.740203193,14.8040638607,B
31487,31800,Saint-Ignan,31,1,1,277,28.4263959391,19860,0.847457627119,26.2711864407,R
31505,31220,Saint-Michel,31,1,1,323,37.4485596708,17908,13.1944444444,20.1388888889,R
31506,31650,Saint-Orens-de-Gameville,31,1,41,1318,40.0565504241,21449,4.31654676259,16.0071942446,B
31515,31620,Saint-Rustice,31,1,1,439,44.2367601246,21165,5.99078341014,16.5898617512,B
31555,31000,Toulouse,31,2,863,2730,69,20924,9.15795943454,11.6164720344,C
31555,31200,Toulouse,31,5,863,2730,69,20924,9.15795943454,11.6164720344,C
31555,31500,Toulouse,31,5,863,2730,69,20924,9.15795943454,11.6164720344,C
31555,31400,Toulouse,31,4,863,2730,69,20924,9.15795943454,11.6164720344,C
31555,31100,Toulouse,31,2,863,2730,69,20924,9.15795943454,11.6164720344,C
31557,31170,Tournefeuille,31,2,42,2109,55.0568900126,21060,8.3820662768,13.0604288499,B
31588,31270,Villeneuve-Tolosane,31,1,17,2520,47.7537437604,21602,6.03588907015,14.5187601958,B
32013,32000,Auch,32,1,91,1822,41.9720186542,16598,12.6060606061,18.9090909091,C
32125,32370,Espas,32,1,1,115,38.7755102041,13923,4.44444444444,17.7777777778,R
32133,32250,Fourcès,32,1,1,285,27.9527559055,14828,8.33333333333,30.5555555556,R
32262,32600,Monbrun,32,2,1,330,52.1929824561,22749,5.91715976331,19.5266272189,R
32328,32480,Pouy-Roquelaure,32,1,NA,141,64.1666666667,16498,1.5873015873,31.746031746,R
33009,33120,Arcachon,33,2,29,1998,58.0428134557,25932,14.0649149923,11.1282843895,B
33011,33740,Arès,33,1,16,5548,36.0879120879,20444,13.0291627469,16.2746942615,I
33050,33210,Bieujac,33,1,1,494,28.7323943662,16098,12.962962963,27.7777777778,R
33056,33290,Blanquefort,33,1,41,2299,43.4974747475,22063,6.28318584071,18.8495575221,B
33063,33100,Bordeaux,33,2,479,4121,26.8790849673,6898,30.7786633967,43.7155119559,C
33063,33800,Bordeaux,33,2,479,4121,26.8790849673,6898,30.7786633967,43.7155119559,C
33063,33000,Bordeaux,33,6,479,4121,26.8790849673,6898,30.7786633967,43.7155119559,C
33063,33300,Bordeaux,33,5,479,4121,26.8790849673,6898,30.7786633967,43.7155119559,C
33063,33200,Bordeaux,33,7,479,4121,26.8790849673,6898,30.7786633967,43.7155119559,C
33069,33110,Le Bouscat,33,4,43,3100,54.4130626655,19878,9.28217821782,16.3366336634,B
33075,33520,Bruges,33,1,20,2649,49.8560736903,19415,6.84745762712,19.186440678,B
33090,33610,Canéjan,33,3,13,2513,55.5174385363,22970,9.79228486647,13.056379822,B
33128,33340,Civrac-en-Médoc,33,1,2,568,29.5454545455,16670,9.75609756098,34.9593495935,R
33145,33670,Cursan,33,1,2,474,38.8405797101,21590,6.66666666667,16.6666666667,R
33147,33420,Daignac,33,1,1,484,27.7456647399,16948,8.14479638009,25.7918552036,R
33162,33320,Eysines,33,3,31,3247,51.660988075,22773,3.85369039843,12.0836054866,B
